Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"RGB7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",240.506250,-46.434375,180.000000,bottom
"RGB8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",270.271875,-46.434375,180.000000,bottom
"RGB9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",295.275000,-46.434375,180.000000,bottom
"RGB10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",50.006250,-103.584375,0.000000,bottom
"RGB11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",83.343750,-103.584375,0.000000,bottom
"RGB12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",121.443750,-103.584375,0.000000,bottom
"RGB13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",150.018750,-103.584375,0.000000,bottom
"RGB14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",180.975000,-103.584375,0.000000,bottom
"RGB15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",216.693750,-103.584375,0.000000,bottom
"RGB16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",240.506250,-103.584375,0.000000,bottom
"RGB17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",264.318750,-103.584375,0.000000,bottom
"RGB18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",292.893750,-103.584375,0.000000,bottom
"SW1","SW_Push","SKQG-1155865-fix",54.768750,-58.340625,0.000000,bottom
"U1","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.15x5.15mm_ThermalVias",57.800000,-79.231250,315.000000,bottom
"Y1","16MHz","Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm",63.300000,-73.481250,180.000000,bottom
